Date,Open,High,Low,Close,Volume
2018/10/19,215.54,218.71,214.91,216.79,33464885
2018/10/18,215.34,217.2,210.54,213.53,32961666
2018/10/17,219.73,220.07,216.82,218.64,23152560
2018/10/16,216.41,220.41,214.26,219.58,29524653
2018/10/15,218.61,219.28,214.76,214.85,31150458
2018/10/12,217.87,220.31,214.34,219.54,40808751
2018/10/11,212.04,216.97,209.87,211.97,53744561
2018/10/10,222.86,223.74,213.56,213.87,42480747
2018/10/9,221.06,224.64,219.67,224.25,27204952
2018/10/8,219.64,222.2,217.65,221.19,30010217
2018/10/5,225.33,225.78,218.03,221.71,33972478
2018/10/4,228.12,229.67,224.12,225.36,32416055
2018/10/3,227.39,230.78,227.13,229.39,28989313
2018/10/2,224.62,227.34,224.02,226.63,25077545
2018/10/1,225.32,226.77,223.74,224.63,23876316
2018/9/28,222.19,223.23,221.44,223.14,23197039
2018/9/27,221.24,223.83,220.96,222.35,30533560
2018/9/26,218.45,221.17,217.22,217.87,24264701
2018/9/25,217.21,220.25,217.17,219.62,24841025
2018/9/24,214.32,218.71,214.14,218.24,28016647
2018/9/21,218.23,218.81,214.78,215.14,97370323
2018/9/20,217.69,219.71,216.63,217.48,26919423
2018/9/19,215.98,217.09,212.81,215.85,27440474
2018/9/18,215.27,219.3,214.62,215.72,31940277
2018/9/17,219.58,220.37,214.76,215.36,37629345
2018/9/14,223.15,224.22,219.95,221.26,32372845
2018/9/13,220.94,225.72,220,223.8,42193253
2018/9/12,222.34,222.4,217.3,218.52,49854015
2018/9/11,215.49,221.72,214.07,221.27,36166380
2018/9/10,218.4,219.3,213.98,215.81,39977764
2018/9/7,219.3,222.77,218.16,218.75,38058980
2018/9/6,223.62,224.72,218.75,220.52,34690274
2018/9/5,226.35,227.02,222.5,224.25,33722086
2018/9/4,225.78,226.53,224.02,225.73,27709881
2018/8/31,223.9,226.23,223.39,225,43846083
2018/8/30,220.67,225.63,219.83,222.43,49363439
2018/8/29,217.6,220.91,216.88,220.4,27572974
2018/8/28,216.49,217.99,216.4,217.17,23042660
2018/8/27,214.64,216.22,213.84,215.42,20764725
2018/8/24,214.11,214.4,212.62,213.67,18692047
2018/8/23,212.17,214.55,212.12,213,19103664
2018/8/22,211.64,213.87,211.38,212.56,19240147
2018/8/21,214.3,214.68,211.56,212.55,26465141
2018/8/20,215.58,216.66,212.62,212.97,30641271
2018/8/17,210.98,215.43,210.7,215.06,35840568
2018/8/16,209.3,211.35,209.03,210.86,28833077
2018/8/15,206.8,208.31,205.93,207.82,29143861
2018/8/14,207.73,208.13,205.86,207.33,20990220
2018/8/13,205.31,208.52,205.31,206.45,26193128
2018/8/10,204.97,206.68,204.28,205.14,24898510
2018/8/9,204.17,206.63,204.09,205.75,23850230
2018/8/8,202.97,204.69,201.45,204.14,22868368
2018/8/7,206.18,206.36,203.66,204,25976876
2018/8/6,204.88,206.11,203.96,205.94,25812410
2018/8/3,203.92,205.61,202.4,204.87,33956530
2018/8/2,197.58,205.26,197.35,204.28,63353922
2018/8/1,196.14,198.72,194.35,198.49,68969828
2018/7/31,187.44,189.26,186.5,187.43,39972372
2018/7/30,189.03,189.31,186.23,187.06,21349645
2018/7/27,192.06,192.26,187.25,188.12,24389663
2018/7/26,191.69,193.03,190.71,191.3,19366337
2018/7/25,190.17,191.92,189.54,191.89,17082615
2018/7/24,189.56,190.76,189.17,190.11,18982517
2018/7/23,187.82,189.08,186.72,188.74,16232754
2018/7/20,188.91,189.54,187.32,188.57,21021228
2018/7/19,186.85,189.66,186.85,189.01,20595555
2018/7/18,188.91,188.93,187.08,187.54,16642920
2018/7/17,186.91,189,186.36,188.58,15770989
2018/7/16,188.65,189.76,187.56,188.05,15272095
2018/7/13,188.22,188.97,188.04,188.46,12710367
2018/7/12,186.69,188.54,186.47,188.17,18315752
2018/7/11,185.67,186.94,184.79,185.06,19118122
2018/7/10,187.85,188.41,187.33,187.49,16181773
2018/7/9,186.66,187.82,186.46,187.72,20057368
2018/7/6,182.64,185.62,182.42,185.15,17751405
2018/7/5,182.48,183.61,181.52,182.62,16856998
2018/7/3,184.97,185.13,180.78,181.16,14167225
2018/7/2,181.06,184.5,180.66,184.38,18001248
2018/6/29,183.49,184.39,180.17,182.33,23083777
2018/6/28,181.34,183.41,181.04,182.72,17629566
2018/6/27,182.45,184.48,181.27,181.4,25670220
2018/6/26,180.25,183.73,179.81,181.67,24943191
2018/6/25,180.64,182.15,178.01,179.44,32145070
2018/6/22,183.33,183.36,181.93,182.15,27614489
2018/6/21,184.45,185.53,182.17,182.68,26103283
2018/6/20,183.55,184.4,182.95,183.7,20942710
2018/6/19,182.36,183.53,180.69,182.91,34089584
2018/6/18,185.06,186.38,184.4,185.91,18766241
2018/6/15,187.18,187.31,185.44,186.01,62658645
2018/6/14,188.68,188.7,187.37,187.94,21939020
2018/6/13,189.53,189.99,187.58,187.84,21967772
2018/6/12,188.52,189.72,188.28,189.39,17168561
2018/6/11,188.48,189.09,187.36,188.36,18587150
2018/6/8,188.3,189.12,186.93,188.83,27062567
2018/6/7,191.23,191.29,189.44,190.56,21672125
2018/6/6,190.73,191.17,189.05,191.07,21252270
2018/6/5,190.17,191.03,189.47,190.41,21894239
2018/6/4,188.77,190.52,188.48,188.96,26665996
2018/6/1,185.17,187.41,184.93,187.39,23799350
2018/5/31,184.42,185.41,183.35,184.07,27901135
2018/5/30,184.9,185.18,183.98,184.68,18975053
2018/5/29,184.78,185.92,184.07,185.08,22856783
2018/5/25,185.41,186.81,184.83,185.75,17726753
2018/5/24,185.94,186.01,183.41,185.33,23587642
2018/5/23,183.55,185.67,182.98,185.54,20363743
2018/5/22,185.56,186.05,183.98,184.36,15472697
2018/5/21,185.18,186.43,184.11,184.81,18680882
2018/5/18,184.39,184.99,183.34,183.51,18576255
2018/5/17,185.18,186.08,183.56,184.19,17557278
2018/5/16,183.28,185.64,183.21,185.36,19475067
2018/5/15,183.98,184.27,182.33,183.64,24055845
2018/5/14,186.18,186.69,185.04,185.33,21095066
2018/5/11,186.65,187.21,184.64,185.76,26611222
2018/5/10,184.22,186.8,184.13,186.47,28524912
2018/5/9,183.05,183.88,181.75,183.84,23655429
2018/5/8,181.52,182.72,180.22,182.56,28946314
2018/5/7,181.71,184.15,181.28,181.69,43263804
2018/5/4,174.91,180.78,174.84,180.38,57276827
2018/5/3,172.58,174.17,171.16,173.56,34720135
2018/5/2,171.94,174.42,170.53,173.25,67812717
2018/5/1,163.29,166.03,162.17,165.93,54594519
2018/4/30,159.1,164.12,158.81,162.16,43239346
2018/4/27,160.92,161.25,157.61,159.27,36338175
2018/4/26,161.04,162.61,160.3,161.14,28498135
2018/4/25,159.57,162.3,159.36,160.58,28925224
2018/4/24,162.55,163.21,158.19,159.87,34336772
2018/4/23,163.7,163.78,161.01,162.14,37214265
2018/4/20,167.4,168,162.31,162.6,66744427
2018/4/19,171.67,172.1,169.42,169.56,35474928
2018/4/18,174.48,175.45,173.55,174.51,21151713
2018/4/17,173.17,175.57,173.09,174.9,27114583
2018/4/16,171.75,172.88,171.55,172.52,21991361
2018/4/13,171.5,172.54,170.58,171.45,25605052
2018/4/12,170.15,171.72,169.8,170.86,23327311
2018/4/11,169,170.65,168.47,169.2,22860909
2018/4/10,169.76,170.72,168.31,170,29122298
2018/4/9,166.69,169.85,166.65,166.86,29573022
2018/4/6,167.75,169.24,165.03,165.21,35675178
2018/4/5,169.34,170.95,168.85,169.56,27448610
2018/4/4,161.79,168.78,161.68,168.39,35267725
2018/4/3,164.5,165.58,161.79,165.22,30857468
2018/4/2,164.74,165.77,161.39,163.55,38306079
2018/3/29,164.66,168.52,163.76,164.64,39133327
2018/3/28,164.11,166.83,162.09,163.36,42465944
2018/3/27,170.42,171.87,163.78,165.17,41705703
2018/3/26,164.9,169.86,163.32,169.53,38259652
2018/3/23,165.22,166.73,161.85,161.85,41813941
2018/3/22,166.81,169.44,165.43,165.68,42284765
2018/3/21,171.76,171.81,168.04,168.05,37764046
2018/3/20,171.96,173.47,171.66,171.96,20025374
2018/3/19,173.99,174.14,170.4,172.01,34086834
2018/3/16,175.29,175.75,174.29,174.69,40158766
2018/3/15,175.15,176.86,174.74,175.29,23179040
2018/3/14,176.94,177.14,174.48,175.09,29930372
2018/3/13,179.16,180.06,175.87,176.59,32300040
2018/3/12,176.91,178.97,176.83,178.3,32823420
2018/3/9,174.63,176.62,174.06,176.6,32801080
2018/3/8,172.19,173.79,171.79,173.61,24229065
2018/3/7,171.66,172.55,170.99,171.75,32310163
2018/3/6,174.58,174.91,172.82,173.34,24243741
2018/3/5,171.93,174.41,171.24,173.49,28944876
2018/3/2,169.56,172.99,169.21,172.9,39189833
2018/3/1,175.19,176.39,169.42,171.72,49735880
2018/2/28,175.89,177.23,174.72,174.79,38505165
2018/2/27,175.73,177.1,174.83,175.04,39673082
2018/2/26,173.04,176.02,172.9,175.6,38585464
2018/2/23,170.41,172.36,170.28,172.21,34430995
2018/2/22,168.57,170.68,168.48,169.26,31547512
2018/2/21,169.59,170.84,167.79,167.85,38101152
2018/2/20,168.82,170.98,168.2,168.62,34543234
2018/2/16,169.13,171.54,168.54,169.19,40888804
2018/2/15,166.6,169.85,165.83,169.75,51890636
2018/2/14,159.98,164.4,159.84,164.23,41258443
2018/2/13,158.92,161.66,158.62,161.26,33106199
2018/2/12,155.52,160.81,154.54,159.65,61943786
2018/2/9,154.13,154.92,147.42,153.48,71951294
2018/2/8,156.65,157.33,151.53,151.63,55444492
2018/2/7,159.37,159.68,155.44,155.87,52682169
2018/2/6,151.31,159.99,150.49,159.32,69833368
2018/2/5,155.47,160.13,152.44,152.92,73927278
2018/2/2,162.22,163,156.46,156.85,87984290
2018/2/1,163.37,164.79,162.96,163.96,46993558
2018/1/31,163.07,164.62,162.7,163.62,33025353
2018/1/30,161.76,163.56,160.95,163.17,46768607
2018/1/29,166.29,166.29,163.27,164.14,51746480
2018/1/26,168.08,168.08,166.19,167.6,40001892
2018/1/25,170.53,170.96,166.65,167.23,42413726
2018/1/24,173.21,173.26,169.26,170.25,52575312
2018/1/23,173.26,175.35,172.79,173.01,33298677
2018/1/22,173.26,173.73,172.58,172.97,27693438
2018/1/19,174.55,175.48,173.36,174.41,32212991
2018/1/18,175.28,176,174.2,175.18,31814703
2018/1/17,172.14,175.17,171.08,175.02,35067399
2018/1/16,173.85,175.3,172.13,172.18,30205291
2018/1/12,172.17,173.32,171.66,173.05,25922886
2018/1/11,170.61,171.5,170.52,171.29,19088265
2018/1/10,169.22,170.33,169.07,170.32,24496512
2018/1/9,170.57,171.07,169.47,170.36,22034741
2018/1/8,170.38,171.62,169.97,170.43,21008546
2018/1/5,169.5,171.38,169.12,171.01,24146052
2018/1/4,168.61,169.53,168.16,169.1,22869438
2018/1/3,168.6,170.57,168.04,168.31,30152991
2018/1/2,166.29,168.38,165.4,168.34,26113748
2017/12/29,166.64,166.71,165.36,165.37,26550208
2017/12/28,167.12,167.93,166.6,167.2,16841257
2017/12/27,166.23,166.9,165.85,166.72,21980566
2017/12/26,166.92,167.56,165.82,166.69,33917040
2017/12/22,170.7,171.43,170.52,171.02,16721411
2017/12/21,170.2,172.02,170.13,171.02,21336637
2017/12/20,170.88,171.43,169.31,170.38,24003282
2017/12/19,171.04,171.4,170.12,170.55,28032473
2017/12/18,170.89,173.16,170.87,172.41,30072340
2017/12/15,169.68,170.2,168.53,170.01,41065228
2017/12/14,168.47,169.19,167.73,168.3,20919032
2017/12/13,168.57,169.6,168.08,168.35,23948578
2017/12/12,168.23,168.46,167.55,167.78,19844699
2017/12/11,165.34,168.96,164.93,168.74,35064524
2017/12/8,166.61,167.12,164.96,165.51,23838074
2017/12/7,165.17,166.56,165.05,165.46,26253937
2017/12/6,163.69,166.32,162.66,165.19,29061955
2017/12/5,165.2,167.61,164.58,165.78,27952880
2017/12/4,168.55,168.69,165.77,165.94,33271556
2017/12/1,166.08,167.75,164.68,167.17,40661388
2017/11/30,166.55,168.22,164.62,167.93,42456766
2017/11/29,168.7,168.99,163.36,165.62,42441364
2017/11/28,170.33,170.88,167.94,169.14,27018412
2017/11/27,171.06,171.09,169.4,170.12,21072558
2017/11/24,171.11,171.51,170.67,170.98,14353381
2017/11/22,169.42,171.01,169.12,170.97,26156994
2017/11/21,166.9,169.75,166.9,169.2,25634234
2017/11/20,166.41,166.68,165.7,166.11,16415418
2017/11/17,167.16,167.49,165.78,166.28,22396195
2017/11/16,167.29,167.95,166.42,167.22,24155364
2017/11/15,166.1,166.44,164.56,165.22,29675260
2017/11/14,169.11,169.54,167.29,167.44,25267678
2017/11/13,169.56,170.52,169.46,170.01,17353900
2017/11/10,171.12,171.39,170.3,170.69,25715831
2017/11/9,170.51,171.47,168.59,171.26,30220968
2017/11/8,170.07,171.62,169.76,171.62,25020681
2017/11/7,169.35,170.53,169.35,170.21,24993780
2017/11/6,167.83,170.39,167.22,169.68,35714157
2017/11/3,169.44,169.69,166.63,167.96,61000641
2017/11/2,163.24,164.08,160.94,163.7,42509773
2017/11/1,165.4,165.47,161.27,162.49,34544990
2017/10/31,163.49,165.18,162.54,164.61,37019027
2017/10/30,159.59,163.66,159.42,162.33,45906375
2017/10/27,155.1,159.3,154.53,158.78,45598937
2017/10/26,153.1,153.68,152.66,153.28,17389406
2017/10/25,152.79,153.42,151.19,152.29,21748666
2017/10/24,152.17,153.29,152.09,152.97,18114047
2017/10/23,152.77,153.56,151.42,152.07,22552399
2017/10/20,152.49,153.61,151.88,152.13,24556567
2017/10/19,152.63,152.95,150.94,151.9,43530030
2017/10/18,156.22,156.49,155.4,155.56,16694854
2017/10/17,155.58,156.65,155.04,156.27,19484049
2017/10/16,153.75,155.8,153.52,155.68,24746078
2017/10/13,152.61,153.15,152.29,152.86,16815414
2017/10/12,152.23,153.24,151.65,151.91,16822920
2017/10/11,151.89,152.85,151.67,152.43,17336879
2017/10/10,151.97,153.85,151.02,151.82,16024613
2017/10/9,151.73,152.61,151.41,151.76,16681899
2017/10/6,150.89,151.41,150.5,151.22,17854647
2017/10/5,150.13,151.36,150,151.31,21838895
2017/10/4,149.59,149.81,148.45,149.44,20658501
2017/10/3,149.96,151.01,149.86,150.41,16656620
2017/10/2,150.21,150.4,148.71,149.77,19186579
2017/9/29,149.2,150.08,148,150.07,26973446
2017/9/28,149.84,150.23,148.69,149.26,22577238
2017/9/27,149.76,150.65,149.5,150.18,26088512
2017/9/26,147.8,149.87,147.71,149.13,37614052
2017/9/25,146.05,147.85,145.24,146.6,45565469
2017/9/22,148.02,148.26,146.61,147.91,47839667
2017/9/21,151.72,151.72,148.74,149.36,38377798
2017/9/20,153.75,154.11,149.79,151.98,53607005
2017/9/19,155.31,155.57,154.29,154.55,21149772
2017/9/18,155.91,156.3,153.85,154.51,28918892
2017/9/15,154.32,156.75,153.85,155.68,50166612
2017/9/14,154.81,155.21,153.94,154.13,24277486
2017/9/13,155.67,155.76,153.76,155.45,46078126
2017/9/12,158.34,159.65,154.59,156.64,73538702
2017/9/11,156.3,157.78,155.69,157.25,32366903
2017/9/8,156.64,156.92,154.38,154.47,29191978
2017/9/7,157.82,157.97,156.16,157.03,22498147
2017/9/6,158.44,158.72,156.32,157.65,22195262
2017/9/5,159.45,159.93,156.35,157.81,30301154
2017/9/1,160.47,160.61,159.33,159.73,17022723
2017/8/31,159.34,160.19,159.19,159.69,27467592
2017/8/30,159.5,159.59,158.34,159.07,27957344
2017/8/29,155.9,158.85,155.8,158.64,30252340
2017/8/28,155.94,157.74,155.73,157.22,26391156
2017/8/25,155.45,156.35,155.08,155.66,26154539
2017/8/24,156.23,156.52,154.4,155.08,20337411
2017/8/23,154.89,156.27,154.7,155.78,19901343
2017/8/22,154.08,155.8,153.87,155.58,22150560
2017/8/21,153.37,153.74,151.03,153.08,27051293
2017/8/18,153.71,155.3,152.6,153.37,28137354
2017/8/17,156.32,156.49,153.69,153.71,28238084
2017/8/16,157.68,158.24,155.95,156.73,28368628
2017/8/15,156.44,157.92,155.94,157.35,30172613
2017/8/14,155.13,156.01,154.57,155.65,22670505
2017/8/11,152.48,154.42,151.98,153.35,26944777
2017/8/10,155.7,155.8,150.57,151.24,40728151
